"","samples","group","cell type","cellular proportions"
"304","MSSM_RNA_PFC_153","Control","Micro",0.0103228689427712
"305","MSSM_RNA_PFC_153","Control","Oligo",0.0879946173487119
"306","MSSM_RNA_PFC_153","Control","OPC",0.0362787263129151
"307","MSSM_RNA_PFC_154","Control","Astro",0.272768190497464
"308","MSSM_RNA_PFC_154","Control","Exc",0.470014397190447
"309","MSSM_RNA_PFC_154","Control","Inh",0.0505948346191133
"310","MSSM_RNA_PFC_154","Control","Micro",0.0197008293725207
"311","MSSM_RNA_PFC_154","Control","Oligo",0.0981731096645868
"312","MSSM_RNA_PFC_154","Control","OPC",0.0887486386558683
"313","MSSM_RNA_PFC_155","Control","Astro",0.151014856989915
"314","MSSM_RNA_PFC_155","Control","Exc",0.523219134039977
"315","MSSM_RNA_PFC_155","Control","Inh",0.103915551493554
"316","MSSM_RNA_PFC_155","Control","Micro",0.0262837619086784
"317","MSSM_RNA_PFC_155","Control","Oligo",0.147521746960259
"318","MSSM_RNA_PFC_155","Control","OPC",0.048044948607617
"319","MSSM_RNA_PFC_156","Control","Astro",0.142578303256358
"320","MSSM_RNA_PFC_156","Control","Exc",0.626843860812492
"321","MSSM_RNA_PFC_156","Control","Inh",0.0877337683564455
"322","MSSM_RNA_PFC_156","Control","Micro",0.0228462460495496
"323","MSSM_RNA_PFC_156","Control","Oligo",0.0751237224661329
"324","MSSM_RNA_PFC_156","Control","OPC",0.0448740990590214
"325","MSSM_RNA_PFC_157","Control","Astro",0.153862228488618
"326","MSSM_RNA_PFC_157","Control","Exc",0.531663809207458
"327","MSSM_RNA_PFC_157","Control","Inh",0.087785568996311
"328","MSSM_RNA_PFC_157","Control","Micro",0.056977377399109
"329","MSSM_RNA_PFC_157","Control","Oligo",0.110145096894676
"330","MSSM_RNA_PFC_157","Control","OPC",0.059565919013829
"331","MSSM_RNA_PFC_158","Control","Astro",0.219662795495869
"332","MSSM_RNA_PFC_158","Control","Exc",0.552395019961555
"333","MSSM_RNA_PFC_158","Control","Inh",0.0218432310256349
"334","MSSM_RNA_PFC_158","Control","Micro",0.0157776152691411
"335","MSSM_RNA_PFC_158","Control","Oligo",0.137350356917743
"336","MSSM_RNA_PFC_158","Control","OPC",0.0529709813300572
"337","MSSM_RNA_PFC_16","Control","Astro",0.1882962354283
"338","MSSM_RNA_PFC_16","Control","Exc",0.486580644798845
"339","MSSM_RNA_PFC_16","Control","Inh",0.0481091980767337
"340","MSSM_RNA_PFC_16","Control","Micro",0.0248505889108335
"341","MSSM_RNA_PFC_16","Control","Oligo",0.188324948482383
"342","MSSM_RNA_PFC_16","Control","OPC",0.0638383843029045
"343","MSSM_RNA_PFC_160","Control","Astro",0.110279233582753
"344","MSSM_RNA_PFC_160","Control","Exc",0.697394957045583
"345","MSSM_RNA_PFC_160","Control","Inh",0.102674009145446
"346","MSSM_RNA_PFC_160","Control","Micro",0.0124831956731834
"347","MSSM_RNA_PFC_160","Control","Oligo",0.050438508441435
"348","MSSM_RNA_PFC_160","Control","OPC",0.0267300961116003
"349","MSSM_RNA_PFC_161","Control","Astro",0.122532208439996
"350","MSSM_RNA_PFC_161","Control","Exc",0.619612514116562
"351","MSSM_RNA_PFC_161","Control","Inh",0.0850198200241798
"352","MSSM_RNA_PFC_161","Control","Micro",0.0309681443339243
"353","MSSM_RNA_PFC_161","Control","Oligo",0.113838352552927
"354","MSSM_RNA_PFC_161","Control","OPC",0.0280289605324109
"355","MSSM_RNA_PFC_162","Control","Astro",0.152370872198759
"356","MSSM_RNA_PFC_162","Control","Exc",0.537952088015106
"357","MSSM_RNA_PFC_162","Control","Inh",0.12493150965937
"358","MSSM_RNA_PFC_162","Control","Micro",0.0264003838693764
"359","MSSM_RNA_PFC_162","Control","Oligo",0.11107843398099
"360","MSSM_RNA_PFC_162","Control","OPC",0.0472667122763986
"361","MSSM_RNA_PFC_163","Control","Astro",0.237522997978562
"362","MSSM_RNA_PFC_163","Control","Exc",0.367756362567081
"363","MSSM_RNA_PFC_163","Control","Inh",0.0586471132602697
"364","MSSM_RNA_PFC_163","Control","Micro",0.0575415735661947
"365","MSSM_RNA_PFC_163","Control","Oligo",0.173332035671361
"366","MSSM_RNA_PFC_163","Control","OPC",0.105199916956532
"367","MSSM_RNA_PFC_164","SCZ","Astro",0.169309029896407
"368","MSSM_RNA_PFC_164","SCZ","Exc",0.613520833952147
"369","MSSM_RNA_PFC_164","SCZ","Inh",0.117980291110574
"370","MSSM_RNA_PFC_164","SCZ","Micro",0.0112686016784009
"371","MSSM_RNA_PFC_164","SCZ","Oligo",0.0403913623446226
"372","MSSM_RNA_PFC_164","SCZ","OPC",0.0475298810178487
"373","MSSM_RNA_PFC_165","Control","Astro",0.130929672816829
"374","MSSM_RNA_PFC_165","Control","Exc",0.539054388994157
"375","MSSM_RNA_PFC_165","Control","Inh",0.14528419666708
"376","MSSM_RNA_PFC_165","Control","Micro",0.0205226455748899
"377","MSSM_RNA_PFC_165","Control","Oligo",0.119941483481701
"378","MSSM_RNA_PFC_165","Control","OPC",0.0442676124653419
"379","MSSM_RNA_PFC_166","Control","Astro",0.13458570217908
"380","MSSM_RNA_PFC_166","Control","Exc",0.577199015887795
"381","MSSM_RNA_PFC_166","Control","Inh",0.132345365378999
"382","MSSM_RNA_PFC_166","Control","Micro",0.00826755886048476
"383","MSSM_RNA_PFC_166","Control","Oligo",0.102891999826295
"384","MSSM_RNA_PFC_166","Control","OPC",0.0447103578673462
"385","MSSM_RNA_PFC_167","Control","Astro",0.0859103503724818
"386","MSSM_RNA_PFC_167","Control","Exc",0.750983412497787
"387","MSSM_RNA_PFC_167","Control","Inh",0.0810725247035492
"388","MSSM_RNA_PFC_167","Control","Micro",0.0199644913677899
"389","MSSM_RNA_PFC_167","Control","Oligo",0.0476799681611824
"390","MSSM_RNA_PFC_167","Control","OPC",0.0143892528972092
"391","MSSM_RNA_PFC_168","Control","Astro",0.260186567812046
"392","MSSM_RNA_PFC_168","Control","Exc",0.493814477491256
"393","MSSM_RNA_PFC_168","Control","Inh",0.0497738962532066
"394","MSSM_RNA_PFC_168","Control","Micro",0.0242929586012225
"395","MSSM_RNA_PFC_168","Control","Oligo",0.0940202917823608
"396","MSSM_RNA_PFC_168","Control","OPC",0.0779118080599083
"397","MSSM_RNA_PFC_170","Control","Astro",0.133977428214022
"398","MSSM_RNA_PFC_170","Control","Exc",0.556582838637442
"399","MSSM_RNA_PFC_170","Control","Inh",0.133121687613366
"400","MSSM_RNA_PFC_170","Control","Micro",0.0239258452525358
"401","MSSM_RNA_PFC_170","Control","Oligo",0.10441503023645
"402","MSSM_RNA_PFC_170","Control","OPC",0.0479771700461842
"403","MSSM_RNA_PFC_171","Control","Astro",0.153422366649004
"404","MSSM_RNA_PFC_171","Control","Exc",0.606058455977834
