"n","method","DE_pattern","ratio_of_sensitivity"
"100","w/ covariates","4_4_1",0.505747126436782
"100","w/ covariates","4_4_1",0.483530961791831
"100","w/ covariates","4_4_1",0.588093806374023
"100","w/ covariates","4_4_1",0.581663630843959
"100","w/ covariates","4_4_1",0.689169139465875
"100","w/ covariates","4_0.25_1",0.536585365853659
"100","w/ covariates","4_0.25_1",0.502112676056338
"100","w/ covariates","4_0.25_1",0.601279317697228
"100","w/ covariates","4_0.25_1",0.550331125827815
"100","w/ covariates","4_0.25_1",0.623312011371713
"100","w/ covariates","4_0.25_1",0.591946308724832
"100","w/ covariates","4_0.25_1",0.545637583892617
"100","w/ covariates","4_0.25_1",0.64654594232059
"100","w/ covariates","4_0.25_1",0.594391244870041
"100","w/ covariates","4_0.25_1",0.54572055596196
"100","w/ covariates","1_4_1",0.853174603174603
"100","w/ covariates","1_4_1",0.742105263157895
"100","w/ covariates","1_4_1",0.670454545454545
"100","w/ covariates","1_4_1",0.760479041916168
"100","w/ covariates","1_4_1",0.786743515850144
"100","w/ covariates","1_4_1",0.873925501432665
"100","w/ covariates","1_4_1",0.624260355029586
"100","w/ covariates","1_4_1",0.898963730569948
"100","w/ covariates","1_4_1",0.783699059561129
"100","w/ covariates","1_4_1",0.825363825363825
"200","w/ covariates","2_1_1",0.472803347280335
"200","w/ covariates","2_1_1",0.527180783817952
"200","w/ covariates","2_1_1",0.523131672597865
"200","w/ covariates","2_1_1",0.544378698224852
"200","w/ covariates","2_1_1",0.40251572327044
"200","w/ covariates","2_1_1",0.489130434782609
"200","w/ covariates","2_1_1",0.549407114624506
"200","w/ covariates","2_1_1",0.490335707019329
"200","w/ covariates","2_1_1",0.543773119605425
"200","w/ covariates","2_1_1",0.571942446043165
"200","w/ covariates","2_2_1",0.58641975308642
"200","w/ covariates","2_2_1",0.5693359375
"200","w/ covariates","2_2_1",0.530715005035247
"200","w/ covariates","2_2_1",0.519187358916479
"200","w/ covariates","2_2_1",0.544585987261146
"200","w/ covariates","2_2_1",0.549582947173309
"200","w/ covariates","2_2_1",0.629514963880289
"200","w/ covariates","2_2_1",0.625662778366914
"200","w/ covariates","2_2_1",0.533091568449683
"200","w/ covariates","2_2_1",0.560381355932203
"200","w/ covariates","2_0.5_1",0.485834207764953
"200","w/ covariates","2_0.5_1",0.533251231527094
"200","w/ covariates","2_0.5_1",0.526699029126214
"200","w/ covariates","2_0.5_1",0.550213675213675
"200","w/ covariates","2_0.5_1",0.649464459591042
"200","w/ covariates","2_0.5_1",0.561368209255533
"200","w/ covariates","2_0.5_1",0.473441108545035
"200","w/ covariates","2_0.5_1",0.448897795591182
"200","w/ covariates","2_0.5_1",0.558139534883721
"200","w/ covariates","2_0.5_1",0.539280958721704
"200","w/ covariates","1_2_1",0.873873873873874
"200","w/ covariates","1_2_1",0.77
"200","w/ covariates","1_2_1",0.95049504950495
"200","w/ covariates","1_2_1",0.958333333333333
"200","w/ covariates","1_2_1",0.85
"200","w/ covariates","1_2_1",0.819444444444444
"200","w/ covariates","1_2_1",0.753086419753086
"200","w/ covariates","1_2_1",0.866071428571429
"200","w/ covariates","1_2_1",0.588235294117647
"200","w/ covariates","1_2_1",0.722222222222222
"200","w/ covariates","3_1_1",0.656622724419335
"200","w/ covariates","3_1_1",0.567415730337079
"200","w/ covariates","3_1_1",0.568212824010914
"200","w/ covariates","3_1_1",0.57620320855615
"200","w/ covariates","3_1_1",0.573657927590512
"200","w/ covariates","3_1_1",0.550669216061185
"200","w/ covariates","3_1_1",0.605911330049261
"200","w/ covariates","3_1_1",0.544398907103825
"200","w/ covariates","3_1_1",0.579365079365079
"200","w/ covariates","3_1_1",0.578042328042328
"200","w/ covariates","3_3_1",0.582571602681292
"200","w/ covariates","3_3_1",0.748212461695608
"200","w/ covariates","3_3_1",0.565847511027095
"200","w/ covariates","3_3_1",0.643876337693222
"200","w/ covariates","3_3_1",0.721215663354763
"200","w/ covariates","3_3_1",0.654946364719905
"200","w/ covariates","3_3_1",0.660674157303371
"200","w/ covariates","3_3_1",0.615842763549732
"200","w/ covariates","3_3_1",0.667599328483492
"200","w/ covariates","3_3_1",0.66343411294923
"200","w/ covariates","3_0.333_1",0.630392788151964
"200","w/ covariates","3_0.333_1",0.567933032839665
"200","w/ covariates","3_0.333_1",0.598802395209581
"200","w/ covariates","3_0.333_1",0.567068843151171
"200","w/ covariates","3_0.333_1",0.564505566470203
"200","w/ covariates","3_0.333_1",0.606157793457344
"200","w/ covariates","3_0.333_1",0.624651810584958
"200","w/ covariates","3_0.333_1",0.554054054054054
"200","w/ covariates","3_0.333_1",0.551155115511551
"200","w/ covariates","3_0.333_1",0.58271144278607
"200","w/ covariates","1_3_1",0.853658536585366
"200","w/ covariates","1_3_1",0.803245436105477
"200","w/ covariates","1_3_1",0.945137157107232
"200","w/ covariates","1_3_1",0.965260545905707
"200","w/ covariates","1_3_1",0.830769230769231
"200","w/ covariates","1_3_1",0.896629213483146
"200","w/ covariates","1_3_1",0.81941309255079
"200","w/ covariates","1_3_1",0.875894988066826
"200","w/ covariates","1_3_1",0.950108459869848
"200","w/ covariates","1_3_1",0.947802197802198
"200","w/ covariates","4_1_1",0.601734104046243
"200","w/ covariates","4_1_1",0.641940881204685
"200","w/ covariates","4_1_1",0.722381224957069
"200","w/ covariates","4_1_1",0.672443674176776
"200","w/ covariates","4_1_1",0.658986175115207
"200","w/ covariates","4_1_1",0.661666666666667
"200","w/ covariates","4_1_1",0.699767711962834
"200","w/ covariates","4_1_1",0.632771644392795
"200","w/ covariates","4_1_1",0.650943396226415
"200","w/ covariates","4_1_1",0.599439775910364
"200","w/ covariates","4_4_1",0.758553274682307
"200","w/ covariates","4_4_1",0.760625305324866
"200","w/ covariates","4_4_1",0.736891828058573
"200","w/ covariates","4_4_1",0.727873855544252
"200","w/ covariates","4_4_1",0.723894637817498
"200","w/ covariates","4_4_1",0.712011577424023
"200","w/ covariates","4_4_1",0.736483195323916
"200","w/ covariates","4_4_1",0.724137931034483
"200","w/ covariates","4_4_1",0.75867269984917
"200","w/ covariates","4_4_1",0.786736641221374
"200","w/ covariates","4_0.25_1",0.673778775968557
"200","w/ covariates","4_0.25_1",0.695002871912694
"200","w/ covariates","4_0.25_1",0.647284695556774
"200","w/ covariates","4_0.25_1",0.680862831858407
"200","w/ covariates","4_0.25_1",0.66951566951567
"200","w/ covariates","4_0.25_1",0.726907630522088
"200","w/ covariates","4_0.25_1",0.777591036414566
"200","w/ covariates","4_0.25_1",0.682871678914641
"200","w/ covariates","4_0.25_1",0.688022284122563
"200","w/ covariates","4_0.25_1",0.632144878324844
"200","w/ covariates","1_4_1",0.917898193760263
"200","w/ covariates","1_4_1",0.880747126436782
"200","w/ covariates","1_4_1",1.02070063694268
"200","w/ covariates","1_4_1",0.908963585434174
"200","w/ covariates","1_4_1",0.896440129449838
"200","w/ covariates","1_4_1",0.926863572433193
"200","w/ covariates","1_4_1",0.938157894736842
"200","w/ covariates","1_4_1",0.930976430976431
"200","w/ covariates","1_4_1",0.88961038961039
"200","w/ covariates","1_4_1",0.912087912087912
