baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	qvalue
ENSG00000005059	133.626871946606	0.112450936517397	0.0480455269864205	2.34050792177136	0.019257529869231	0.182048899918861	0.133953240963964
ENSG00000005075	191.893191555732	-0.0223005681544878	0.0277250026714368	-0.804348638619344	0.421195654867447	0.735914670613434	0.541492726654949
ENSG00000005100	560.557735896899	-0.00276256450235266	0.0135443428308084	-0.203964454891738	0.838381275867925	0.94578285249071	0.695915649013754
ENSG00000005108	653.052622607501	0.0333945847032355	0.0256035200156774	1.30429662338567	0.192132466156382	0.534607108346789	0.393368786284033
ENSG00000005156	481.856630337112	0.0075033297354093	0.0169385677748466	0.442973091653687	0.657785197927747	0.873705358400271	0.642880371468662
ENSG00000005175	766.538202366699	-0.0171399125251809	0.0141114420484822	-1.2146109849223	0.224514497203773	0.570111390027078	0.419493160566393
ENSG00000005189	112.488925583262	-0.0130712685203167	0.0269281888421727	-0.485412093510188	0.627384055508559	0.858694294480855	0.631835093726148
ENSG00000005194	864.784190693012	-0.0212990578059752	0.0159773790775174	-1.33307582568071	0.182506921651854	0.521936151781364	0.384045380875877
ENSG00000005206	372.000048662868	-0.0456612396536986	0.0210475044126476	-2.16943722915959	0.0300495050969292	0.225756816752788	0.166113924814828
ENSG00000005238	264.761933130105	0.0165241079174802	0.022538407623094	0.733153299639004	0.46346493491541	0.767067074199446	0.564414949343598
ENSG00000005243	42.0261475797465	-0.0855098736671233	0.0380826364238228	-2.24537694070025	0.0247439444606878	0.203989636193095	0.150097434828246
ENSG00000005249	4198.03821961939	0.00653676207356671	0.0175994393623097	0.371418767325372	0.710325649403671	0.895828400846614	0.659158707877132
ENSG00000005302	664.720052079843	-0.0112753614026213	0.0145544961847919	-0.774699533358153	0.438517226817928	0.748923439951618	0.551064697782372
ENSG00000005339	1540.7482924656	0.0119953929795141	0.0193365385093424	0.620348516551636	0.535028359613139	0.810702482680077	0.596522280886784
ENSG00000005379	2423.00363676605	-0.0343790021897736	0.0217362658111475	-1.5816425180144	0.113731201919334	0.424003627241593	0.311985736111574
ENSG00000005381	21.0756945974582	-0.208898621655078	0.0982278773562048	-2.12667347882869	0.0334472225837445	0.238198308691634	0.175268488057881
ENSG00000005421	25.1374019625051	-0.0456402399149608	0.0406975543511789	-1.12144920358436	0.262096702072088	0.607748604871675	0.447186966524781
