n,DE_pattern,DE_pattern_index,replicate,method,sensitivity,fdr,number_of_true_discoveries_ct1,number_of_true_discoveries_ct2,number_of_true_discoveries_ct3,number_of_true_discoveries_ct4,number_of_true_discoveries_ct5,number_of_true_discoveries_ct6,number_of_discoveries_ct1,number_of_discoveries_ct2,number_of_discoveries_ct3,number_of_discoveries_ct4,number_of_discoveries_ct5,number_of_discoveries_ct6,power_ct1,power_ct2,power_ct3,power_ct4,power_ct5,power_ct6,type_I_error_ct1,type_I_error_ct2,type_I_error_ct3,type_I_error_ct4,type_I_error_ct5,type_I_error_ct6
50,3_1_1,1,205,csSAM,0.0185,0,0,37,0,0,0,0,0,37,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,206,CARseq_with_RIN,0.0595,0.032520325203252,0,119,0,0,0,0,0,123,0,0,0,0,0.057,0.273,0.036,0.026,0.045,0.0295,0.0477738869434717,0.0360180090045022,0.0317658829414707,0.03064032016008,0.0371435717858929,0.0307653826913457
50,3_1_1,1,206,CARseq_without_RIN,0.002,0,0,4,0,0,0,0,0,4,0,0,0,0,0.0675,0.1825,0.017,0.025,0.0275,0.072,0.0386346586646662,0.018754688672168,0.0185046261565391,0.0287571892973243,0.0240060015003751,0.0976494123530883
50,3_1_1,1,206,TOAST_TPM_with_RIN,0.0285,0.109375,0,57,0,1,0,0,0,58,0,6,0,0,0.0605,0.2735,0.053,0.068,0.049,0.0495,0.035125,0.037375,0.041125,0.07025,0.044875,0.039625
50,3_1_1,1,206,TOAST_TPM_without_RIN,0.003,0.5,1,6,0,0,0,1,1,6,0,0,0,5,0.086,0.186,0.0445,0.0595,0.0455,0.2035,0.041875,0.021625,0.032875,0.062625,0.0435,0.203375
50,3_1_1,1,206,csSAM,0.027,0.799256505576208,1,54,0,0,0,57,2,55,0,0,0,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,207,CARseq_with_RIN,0.1685,0.0612813370473537,0,337,0,0,0,0,0,359,0,0,0,0,0.023,0.4095,0.0305,0.0275,0.049,0.048,0.0253781722715339,0.0445055631953994,0.0398799849981248,0.0272534066758345,0.0496312039004876,0.0410051256407051
50,3_1_1,1,207,CARseq_without_RIN,0.0675,0,0,135,0,0,0,0,0,135,0,0,0,0,0.0325,0.3055,0.0195,0.018,0.0575,0.0265,0.044625,0.027,0.024875,0.01875,0.06,0.02275
50,3_1_1,1,207,TOAST_TPM_with_RIN,0.031,0.194805194805195,0,62,0,0,0,0,0,76,0,0,1,0,0.047,0.2505,0.0445,0.049,0.0515,0.0575,0.04625,0.056375,0.045125,0.044,0.055,0.05375
50,3_1_1,1,207,TOAST_TPM_without_RIN,0.02,0.259259259259259,0,40,0,0,1,0,0,46,0,0,8,0,0.0545,0.2195,0.0385,0.0335,0.0885,0.0355,0.048625,0.033,0.036125,0.029125,0.10175,0.0315
50,3_1_1,1,207,csSAM,0.0225,0.1,0,45,0,0,0,0,0,50,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,208,CARseq_with_RIN,0.2065,0.0739910313901345,0,413,0,0,0,0,0,446,0,0,0,0,0.036,0.414,0.0295,0.0205,0.04,0.0315,0.0412551568946118,0.0491311413926741,0.0355044380547568,0.0242530316289536,0.0415051881485186,0.0368796099512439
50,3_1_1,1,208,CARseq_without_RIN,0.069,0.0212765957446809,0,138,0,0,0,0,0,141,0,0,0,0,0.0375,0.2865,0.0495,0.098,0.0245,0.0665,0.044625,0.030625,0.048375,0.143625,0.023,0.074875
50,3_1_1,1,208,TOAST_TPM_with_RIN,0.025,0.0909090909090909,0,50,0,0,0,0,0,54,0,0,0,1,0.0595,0.273,0.0435,0.0435,0.053,0.0415,0.053875,0.044625,0.047,0.0435,0.048875,0.052125
50,3_1_1,1,208,TOAST_TPM_without_RIN,0.037,0.881219903691814,0,74,0,124,0,3,0,76,0,531,1,15,0.139,0.249,0.0915,0.2155,0.041,0.1035,0.12975,0.031375,0.0805,0.245125,0.03475,0.10525
50,3_1_1,1,208,csSAM,0.07,0.0277777777777778,0,140,0,0,0,0,0,144,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,209,CARseq_with_RIN,0.1245,0.0496183206106871,0,249,0,0,0,0,0,262,0,0,0,0,0.0405,0.36,0.0335,0.0285,0.042,0.0395,0.045125,0.045875,0.03375,0.026625,0.0455,0.038875
50,3_1_1,1,209,CARseq_without_RIN,0.077,0.0552147239263804,0,154,0,0,0,0,0,163,0,0,0,0,0.0345,0.307,0.019,0.014,0.0235,0.0195,0.038875,0.0735,0.022,0.014125,0.026125,0.018625
50,3_1_1,1,209,TOAST_TPM_with_RIN,0.0365,0.0875,0,73,0,0,0,0,0,80,0,0,0,0,0.034,0.286,0.048,0.0345,0.0465,0.0425,0.03425,0.047,0.0455,0.043625,0.044125,0.03625
50,3_1_1,1,209,TOAST_TPM_without_RIN,0.054,0.142857142857143,0,108,0,0,0,0,0,125,0,0,1,0,0.0355,0.2755,0.0375,0.026,0.031,0.025,0.03025,0.074625,0.039875,0.029375,0.03425,0.023375
50,3_1_1,1,209,csSAM,0.024,0.04,0,48,0,0,0,0,0,50,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
